조사연도,조사분기,구분,업종,지수항목,지수
2023,4,현재,전체,매출액,73.67
2023,4,현재,전체,식재료,141.92
2023,4,현재,전체,고용,95.77
2023,4,현재,한식 음식점업,매출액,71.58
2023,4,현재,한식 일반음식점업,매출액,71.25
2023,4,현재,한식 면요리 전문점,매출액,76.94
2023,4,현재,한식 육류요리 전문점,매출액,71.46
2023,4,현재,한식 해산물요리 전문점,매출액,69.98
2023,4,현재,외국식 음식점업,매출액,71.46
2023,4,현재,중식 음식점업,매출액,69.71
2023,4,현재,일식 음식점업,매출액,66.53
2023,4,현재,서양식 음식점업,매출액,76.2
2023,4,현재,기타 외국식 음식점업,매출액,80.73
2023,4,현재,기관 구내식당업,매출액,95.84
2023,4,현재,출장 음식 서비스업,매출액,83.02
2023,4,현재,기타 간이 음식점업,매출액,75.44
2023,4,현재,제과점업,매출액,75.09
2023,4,현재,"피자, 햄버거, 샌드위치 및 유사 음식점업",매출액,87.23
2023,4,현재,치킨 음식점업,매출액,70.32
2023,4,현재,김밥 및 기타 간이 음식점업,매출액,74.25
2023,4,현재,간이음식 포장판매 전문점,매출액,76.16
2023,4,현재,주점업,매출액,70.06
2023,4,현재,일반 유흥주점업,매출액,63.08
2023,4,현재,무도 유흥주점업,매출액,62.8
2023,4,현재,생맥주 전문점,매출액,69.95
2023,4,현재,기타 주점업,매출액,72.89
2023,4,현재,비알코올음료점업,매출액,80.54
2023,4,현재,커피 전문점,매출액,82.07
2023,4,현재,기타 비알코올 음료점업,매출액,73.15
2023,4,현재,한식 음식점업,식재료,145.22
2023,4,현재,한식 일반음식점업,식재료,145.78
2023,4,현재,한식 면요리 전문점,식재료,144.34
2023,4,현재,한식 육류요리 전문점,식재료,144.77
2023,4,현재,한식 해산물요리 전문점,식재료,143.18
2023,4,현재,외국식 음식점업,식재료,141.57
2023,4,현재,중식 음식점업,식재료,141.33
2023,4,현재,일식 음식점업,식재료,142.91
2023,4,현재,서양식 음식점업,식재료,141.21
2023,4,현재,기타 외국식 음식점업,식재료,139.91
2023,4,현재,기관 구내식당업,식재료,134.63
2023,4,현재,출장 음식 서비스업,식재료,147.54
2023,4,현재,기타 간이 음식점업,식재료,140.28
2023,4,현재,제과점업,식재료,138.47
2023,4,현재,"피자, 햄버거, 샌드위치 및 유사 음식점업",식재료,133.59
2023,4,현재,치킨 음식점업,식재료,141.39
2023,4,현재,김밥 및 기타 간이 음식점업,식재료,142.68
2023,4,현재,간이음식 포장판매 전문점,식재료,144.07
2023,4,현재,주점업,식재료,143.69
2023,4,현재,일반 유흥주점업,식재료,143.04
2023,4,현재,무도 유흥주점업,식재료,143.57
2023,4,현재,생맥주 전문점,식재료,142.54
2023,4,현재,기타 주점업,식재료,144.1
2023,4,현재,비알코올음료점업,식재료,132.73
2023,4,현재,커피 전문점,식재료,132.41
2023,4,현재,기타 비알코올 음료점업,식재료,134.28
2023,4,현재,한식 음식점업,고용,95.64
2023,4,현재,한식 일반음식점업,고용,95.97
2023,4,현재,한식 면요리 전문점,고용,96.73
2023,4,현재,한식 육류요리 전문점,고용,93.87
2023,4,현재,한식 해산물요리 전문점,고용,96.85
2023,4,현재,외국식 음식점업,고용,92.36
2023,4,현재,중식 음식점업,고용,94.16
2023,4,현재,일식 음식점업,고용,89.93
2023,4,현재,서양식 음식점업,고용,91.33
2023,4,현재,기타 외국식 음식점업,고용,93.52
2023,4,현재,기관 구내식당업,고용,99.16
2023,4,현재,출장 음식 서비스업,고용,98.45
2023,4,현재,기타 간이 음식점업,고용,96.44
2023,4,현재,제과점업,고용,94.01
2023,4,현재,"피자, 햄버거, 샌드위치 및 유사 음식점업",고용,96.71
2023,4,현재,치킨 음식점업,고용,96.57
2023,4,현재,김밥 및 기타 간이 음식점업,고용,97.42
2023,4,현재,간이음식 포장판매 전문점,고용,96.49
2023,4,현재,주점업,고용,96.32
2023,4,현재,일반 유흥주점업,고용,93.67
2023,4,현재,무도 유흥주점업,고용,94.3
2023,4,현재,생맥주 전문점,고용,94.34
2023,4,현재,기타 주점업,고용,97.65
2023,4,현재,비알코올음료점업,고용,96.34
2023,4,현재,커피 전문점,고용,95.85
2023,4,현재,기타 비알코올 음료점업,고용,98.68
2023,3,현재,전체,매출액,79.42
2023,3,현재,전체,식재료,143.68
2023,3,현재,전체,고용,96.39
2023,3,현재,한식 음식점업,매출액,78.77
2023,3,현재,한식 일반음식점업,매출액,79.81
2023,3,현재,한식 면요리 전문점,매출액,83.91
2023,3,현재,한식 육류요리 전문점,매출액,78.08
2023,3,현재,한식 해산물요리 전문점,매출액,69.39
2023,3,현재,외국식 음식점업,매출액,77.15
2023,3,현재,중식 음식점업,매출액,75.22
2023,3,현재,일식 음식점업,매출액,72.9
2023,3,현재,서양식 음식점업,매출액,81.78
2023,3,현재,기타 외국식 음식점업,매출액,85.62
2023,3,현재,기관 구내식당업,매蓚,97.28
2023,3,현재,출장 음식 서비스업,매출액,88.3
2023,3,현재,기타 간이 음식점업,매출액,79.87
2023,3,현재,제과점업,매출액,83.12
2023,3,현재,"피자, 햄버거, 샌드위치 및 유사 음식점업",매출액,86.62
2023,3,현재,치킨 음식점업,매출액,76.34
2023,3,현재,김밥 및 기타 간이 음식점업,매출액,77.81
2023,3,현재,간이음식 포장판매 전문점,매출액,81.14
2023,3,현재,주점업,매출액,74.75
2023,3,현재,일반 유흥주점업,매출액,67.49
2023,3,현재,무도 유흥주점업,매출액,63.6
2023,3,현재,생맥주 전문점,매출액,82.4
2023,3,현재,기타 주점업,매출액,76.7
2023,3,현재,비알코올음료점업,매출액,85.27
2023,3,현재,커피 전문점,매출액,87.69
2023,3,현재,기타 비알코올 음료점업,매출액,73.56
2023,3,현재,한식 음식점업,식재료,145.62
2023,3,현재,한식 일반음식점업,식재료,145.78
2023,3,현재,한식 면요리 전문점,식재료,146.45
2023,3,현재,한식 육류요리 전문점,식재료,144.67
2023,3,현재,한식 해산물요리 전문점,식재료,146.23
2023,3,현재,외국식 음식점업,식재료,143.85
2023,3,현재,중식 음식점업,식재료,144.48
2023,3,현재,일식 음식점업,식재료,144.08
2023,3,현재,서양식 음식점업,식재료,142.63
2023,3,현재,기타 외국식 음식점업,식재료,143.61
2023,3,현재,기관 구내식당업,식재료,142.08
2023,3,현재,출장 음식 서비스업,식재료,148.61
2023,3,현재,기타 간이 음식점업,식재료,143.49
2023,3,현재,제과점업,식재료,141.38
2023,3,현재,"피자, 햄버거, 샌드위치 및 유사 음식점업",식재료,138.34
2023,3,현재,치킨 음식점업,식재료,145.18
2023,3,현재,김밥 및 기타 간이 음식점업,식재료,144.88
2023,3,현재,간이음식 포장판매 전문점,식재료,146.84
2023,3,현재,주점업,식재료,145.43
2023,3,현재,일반 유흥주점업,식재료,144.55
2023,3,현재,무도 유흥주점업,식재료,145.41
2023,3,현재,생맥주 전문점,식재료,145.06
2023,3,현재,기타 주점업,식재료,145.81
2023,3,현재,비알코올음료점업,식재료,135.89
2023,3,현재,커피 전문점,식재료,135.23
2023,3,현재,기타 비알코올 음료점업,식재료,139.05
2023,3,현재,한식 음식점업,고용,96.21
2023,3,현재,한식 일반음식점업,고용,96.75
2023,3,현재,한식 면요리 전문점,고용,96.15
