순서,상품ID,판매처,상품명,가격,평점,리뷰수,100g당 가격,분류
1,1000575098562,피코크,샤브샤브 요리재료,9980,4.7,2004,1001147,기타
2,1000634007733,피코크,의정부식 부대찌개,9980,4.5,15,1001426,찌개류
3,1000599436903,피코크,햄폭탄 부대찌개,12980,4.8,515,1001627,찌개류
4,1000581051191,피코크,소불고기,12980,4.7,459,1001808,고기류
5,1000049359710,피코크,순두부찌개 요리재료,6980,4.7,6451,100868,찌개류
6,1000628012932,피코크,누룽지찜닭,14980,4.8,50,1001233,찜류
7,1000389018624,피코크,미가 들깨수제비,9980,4.7,2500,1001883,기타
8,1000568557058,피코크,소고기생면전골560,8980,4.6,152,1001283,전류
9,1000628012947,피코크,우삼겹떡볶이,12980,4.7,8,1001282,분식류
10,1000581571518,피코크,소고기 밀푀유나베,19800,4.6,437,1001974,기타
11,1000579627633,피코크,우삼겹 고깃집 된장찌개,7980,4.8,287,1001330,찌개류
12,1000060790087,피코크,냉이된장찌개 밀키트,9980,4.7,362,1001202,찌개류
13,1000577671536,피코크,새우듬뿍 감바스,14980,4.7,568,1002754,기타
14,1000052494018,피코크,마라샹궈,14980,4.7,1620,1003672,기타
15,1000594184482,피코크,고기듬뿍 마라탕,16800,4.6,319,1001706,기타
16,1000585597141,피코크,병천식 순대곱창볶음,16800,4.6,168,1001732,밥/면류
17,1000604385779,피코크,푸짐한 대구매운탕,14980,4.6,203,1001450,기타
18,1000604385769,피코크,원주식 장칼국수,7980,4.7,543,1001315,국류
19,1000521491570,피코크,버섯 어묵 전골,14980,4.7,665,1001961,전류
20,1000360744497,프레시지,[캠핑포차] 김치어묵 우동전골,13800,4.8,637,1001278,전류
21,1000633879761,SSG ONLY,소시지듬뿍 의정부식 부대찌개,10900,4.7,1462,1001652,찌개류
22,1000633807491,,쉐프컬렉션 오리지널 유니짜장 2인분,9980,4.7,65,100778,중식
23,1000619907079,피코크,얼큰버섯샤브샤브,16800,4.7,189,1002100,기타
24,1000634007730,피코크,영월식 청국장,9980,4.8,5,1001073,국류
25,1000623032910,피코크,얼큰해물파스타,14980,4.8,167,1001880,해물/생선류
26,1000628012924,피코크,유부주머니전골,12980,4.8,42,1001756,전류
27,1000564768297,피코크,돼지고기 김치찜,9980,4.8,273,1001547,찜류
28,1000609921522,피코크,리북방 순대전골,14980,4.7,172,1001664,전류
29,1000564768298,피코크,고추잡채&꽃빵,9980,4.7,550,1001996,밥/면류
30,1000634007735,피코크,된장찌개 요리재료,6980,3.6,3,100895,찌개류
31,1000564768294,피코크,콩나물 불고기,9980,4.7,365,1001147,고기류
32,1000293139016,피코크,신락원 해물누룽지탕,12980,4.6,1607,1002163,해물/생선류
33,1000565852529,피코크,차돌박이 숙주볶음,14980,4.6,202,1002574,밥/면류
34,1000575043772,피코크,쟁반짜장,9980,4.6,524,100998,중식
35,1000522564212,조선호텔앤리조트,[조선호텔]탕수육,9800,4.7,1990,1002178,중식
36,1000626248561,피코크,봄동겉절이,5980,4.6,36,1001621,기타
37,1000564768295,피코크,애호박 돼지찌개,9980,4.8,281,1001340,찌개류
38,1000609681715,피코크,투움바 빠네 파스타,12980,4.8,76,1002250,기타
39,1000518327522,피코크,오사카식 야키소바,14980,4.7,529,1001706,일식
40,1000518327524,피코크,오사카식 오코노미야키,14980,4.7,829,1002779,기타
41,1000609920690,피코크,강된장&제육 쌈밥세트,14980,4.6,137,1001308,기타한식류
42,1000581571522,피코크,부채살 큐브 찹스테이크,19800,4.6,167,1003867,기타
43,1000612103333,피코크,동대문식 닭칼국수,19800,4.2,67,100996,국류
44,1000578952172,피코크,매콤순대볶음,9980,4.6,424,1001349,밥/면류
45,1000521491573,피코크,베트남식 소고기쌀국수,14980,4.7,358,1002416,베트남식
46,1000633879765,프레시지,도산분식 국물떡볶이,7900,4.6,492,1001549,국류
47,1000575528386,피코크,매콤한 즉석 쌀떡볶이,9980,4.7,250,100942,분식류
48,1000546348511,CJ제일제당,쿡킷,13900,4.7,106,10198,기타
49,1000628012918,피코크,새우듬뿍 팟타이,12980,4.5,25,1001964,기타
50,1000628012939,피코크,에그인헬,12980,4.8,24,1001955,기타
51,1000581571523,피코크,볼로네제 라자냐,14980,4.5,152,1002493,기타
52,1000525151309,청정원,호밍스 햄&고기듬뿍 부대찌개,15400,4.6,326,1002167,찌개류
53,1000522564218,조선호텔앤리조트,[조선호텔]꿔바로우,9800,4.7,1488,1002178,기타
54,1000580878275,피코크,카덴 마제우동,14980,4.8,266,1001582,기타
55,1000580878277,피코크,카덴 나가사키 짬뽕탕,16800,4.6,175,1002553,중식
56,1000579627572,피코크,로제 쉬림프 파스타,14980,4.8,84,1001961,기타
57,1000609921521,피코크,족발&막국수,14980,4.7,143,1001827,국류
58,1000572276141,피코크,이꼬이 스키나베,19800,4.6,259,1001664,기타
59,1000599813522,피코크,해물듬뿍칼국수,12980,4.6,127,,국류
60,1000586815979,,청정원 호밍스 김치어묵우동전골,13900,4.8,31,1001211,전류
61,1000613369557,,본죽 전통 잡채 195g*2입,12980,4.6,48,10256,밥/면류
62,1000528323299,피코크,김치어묵전골,14980,4.6,382,1001863,전류
63,1000580702094,피코크,얼큰칼칼한 소곱창전골,19800,4.5,145,1001338,전류
64,1000595324278,피코크,닭볶음탕,16800,4.5,128,1001159,밥/면류
65,1000633807955,,조선호텔 소고기장터국,7900,4.7,273,1001082,국류
66,2097001687703,프레시지,[캠핑포차] 꼬치어묵탕,11900,4.8,245,,기타
67,1000593232702,피코크,볶음짬뽕,9980,4.5,122,1001069,밥/면류
68,1000593035575,,마이셰프 소문난 돼지불백,9980,4.5,61,1001686,기타
69,1000060308823,피코크,대구식 파육개장,14980,4.7,1328,1001807,기타
70,1000613711060,피코크,주꾸미삼겹살볶음,12980,4.7,29,,밥/면류
71,1000556885769,호밍스,얼큰김치만두전골,15400,4.7,63,1001912,전류
72,1000620097465,피코크,전주식칼국수,8980,4.6,84,1002185,전류
73,1000623542470,,CJ 비비고 서울식 소불고기전골,16980,4.7,14,1003362,고기류
74,1000641795177,바른고기 정육점,일품 갈비곰탕,12900,4.7,260,1001290,고기류
75,1000582269985,피코크,닭갈비,19800,4.7,114,1002152,고기류
76,1000641795108,Chai797,유니짜장면,8900,4.5,232,1001203,중식
77,1000604385774,피코크,송탄식 부대찌개,9980,4.8,1154,100649,찌개류
78,1000552428426,피코크,우삼겹,7980,4.8,4532,1001298,기타
79,1000595812799,피코크,강릉식 짬뽕순두부 밀키트 1.035,9980,4.7,620,100964,중식
80,2097002051046,강민철,또맛(토마토)파스타,10900,4.5,41,,기타
81,1000600712078,,유동 어부지리 새꼬막 매콤비빔 밀키트,4980,4.7,101,,기타
82,1000605617336,,묵은지 김치찌개 &바싹 불고기,9980,4.2,12,1001147,찌개류
83,1000628012911,피코크,매콤물갈비,14980,4.7,10,1001641,고기류
84,1000594184453,피코크,버섯크림리조또,12980,4.5,60,1001973,기타
85,1000499298831,통뼈감자탕,보통맛,10500,4.5,432,1001050,기타
86,1000575228242,,호밍스 불고기 낙지전골,16400,4.7,143,1002247,고기류
87,1000627812753,,황태해장국&두부두루치기,9980,5.0,5,1001202,국류
88,1000593623060,피코크,우육면,7980,4.7,59,1001308,기타
89,1000641795067,Chai797,오리지널 짬뽕,13800,4.6,51,1001078,중식
90,1000642139553,밀본,시그니처,12880,4.7,190,,기타
91,1000581571459,,청정원 콩담백면 450g(150g*3ea),7380,4.8,265,1001640,기타
92,1000633878878,,하니칼국수 새우칼국수,9900,4.5,10,1002463,국류
93,1000641947520,SSGx하코야,냉메밀소바 946g (2인분),8980,4.8,2203,,기타
94,1000556885767,상어알분식,국물떡볶이,6200,4.6,198,1001722,국류
95,1000576971239,송쭈집,프리미엄 양념 쭈꾸미 볶음 패키지 묶음 구성 300g 6팩 / 500g 4팩,59800,4.8,9,1002489,밥/면류
96,1000633879785,프레시지,바르다김선생 찹쌀 자연 치즈볼,8900,4.9,14,1002871,기타
97,1000641443068,,쉐프컬렉션 넘버원양꼬치 동파육,16980,4.6,60,1002377,기타
98,1000609921518,피코크,콩비지감자탕,16800,4.3,49,1001167,기타
99,1000611536459,,CJ 비비고 곱창순대전골,17980,4.8,58,,전류
100,1000533571829,에머이,불고기 쌀국수 480g(2개입),12500,4.8,283,1002273,베트남식
101,2097001704233,삼원가든,첫선 돼지갈비,27500,4.3,167,1002750,고기류
102,1000554845018,CJ제일제당,[쿡킷] 양지육수 왕교자 만두전골,15980,4.4,9,1002010,전류
103,1000557926461,CJ제일제당,비비고 스팸부대전골,15980,4.7,78,1002316,전류
104,1000544417628,마이셰프,제주로 흑돼지 덮밥,14980,4.6,76,1003215,기타
105,1000611536454,,CJ 비비고 낙곱새전골,17980,4.8,84,1002497,전류
106,1000602280020,,하남쭈꾸미 500g 5팩,58900,4.8,20,,기타
107,1000633879730,프레시지,바르다김선생 바르다 광천 김말이,5900,4.6,30,1001967,분식류
108,1000575228240,,호밍스 우삼겹 대창전골,18400,4.8,90,1003472,전류
109,1000633879823,프레시지,소밋공원 우삼겹 감자사리볶음면,10900,4.8,6,1002150,밥/면류
110,1000525748099,청정원,호밍스 해물누룽지탕,18400,4.5,89,1002388,해물/생선류
111,1000613711062,피코크,낙지볶음&소면,12980,4.2,13,,밥/면류
112,1000635492288,수다쟁이밥상,교동낙지 450gx2팩 캠핑요리 간편식 밀키트 간편조리 저녁 메뉴덮밥,21620,5.0,2,,기타
113,1000641988681,,야마야 모츠나베,20900,4.6,9,1002855,기타
114,1000291859747,나래식품,만능 명란 청국장 600g 8인분 국내산 청국장,17800,4.8,19,,국류
115,1000048850964,아임셰프,소고기 샤브샤브 (2인분),17700,4.3,9,,기타
116,1000557926465,CJ제일제당,비비고 곱창전골 800G파우치,15980,4.7,106,1001998,전류
117,1000641947542,하코야,살얼음동동 가라아게 냉우동,12980,4.7,145,,기타
118,2097001955017,서리재,살얼음 동치미 물막국수,9900,4.6,125,,국류
119,1000635507203,수다쟁이밥상,꽃미남쭈꾸미 양념쭈꾸미 600g x3팩 캠핑요리 간편식 밀키트 간편조리 저녁메뉴,35580,5.0,3,,기타
120,2097001879740,오마뎅,[SSGX오마뎅] 부산떡볶이2입 + 사과떡볶이 1입,19700,4.8,242,,분식류
121,1000596248438,,채소와 고기의 환상궁합 밀푀유나베 밀키트 4인분,32200,,,1002349,기타
122,1000633003419,수다쟁이밥상,역전닭갈비 500g x 2팩 국내산 닭고기 100% 춘천닭갈비 양념닭갈비 저녁메뉴  캠핑요리,9900,5.0,2,,고기류
123,1000633879792,프레시지,도산분식 무침만두,7490,4.6,418,1001314,기타
124,1000534713218,프레시지,백리향 마파두부(냉장),14900,4.7,9,,기타
125,1000027655607,프레시지,블랙라벨 스테이크 (2인분) 냉장밀키트,18900,4.7,3797,,기타
126,1000034526675,ENTREE,앙트레 스파이시 봉골레 쿠킹박스 밀키트(2인분) 754g EASY,12900,4.2,28,,기타
127,1000578664242,밀팡,순살 닭도리탕 밀키트 2인분,14900,,,,닭요리
128,1000534712671,프레시지,신림동백순대볶음 2인분(냉장),12900,5.0,1,,밥/면류
129,1000578652665,밀팡,순살 안동찜닭 밀키트 2인분,15900,4.0,1,,찜류
130,1000633638533,수다쟁이밥상,또순이네 철판 떡볶이 460g x 3팩 분식 간편조리식품 아이간식 양념떡볶이 즉석떡볶이,25575,,,,분식류
131,1000561199293,프레시지,감바스알아히요 2인분(냉장),14900,4.0,1,,기타
132,1000555324821,아임셰프,해산물 빼쉐 국물 파스타 / 해장 파스타 밀키트 (2인분) 551g 캠핑 직화용기 제공,15900,,,,국류
133,1000628428644,VIPS,빕스 척아이롤 스테이크 331g 2개 + 볶음밥 2종 (멕불) + 피자2종 (하고),52500,,,,밥/면류
134,1000629209250,푸딩팩토리,푸딩프렙 해물 야끼소바 450g 밀키트 오리엔탈 퓨전일식 볶음우동,11500,,,,밥/면류
135,1000576187002,월드킷,우삼겹/왕새우 팟타이 밀키트(2인),15900,5.0,2,1002709,기타
136,1000567950957,아임셰프,깻잎 페스토 크림파스타 440g (2인분),13900,5.0,1,,기타
137,1000592128163,프레시지,해물누룽지탕 2인분,13900,4.5,2,,해물/생선류
138,1000600834652,,바다가득 문어솥밥,19280,,,,기타
139,1000595530928,,신림동 순대타운 양지순천집 백순대 2인분,17900,,,,분식류
140,1000633879814,프레시지,교동면옥 육전 비빔냉면,8590,4.6,36,1001998,전류
141,1000048646822,아임셰프,진한 우사골 떡국 (2인분),14900,4.0,3,,국류
142,1000534714373,프레시지,감바스알아히요 2인분x2팩 4인분 (냉장),22900,5.0,4,,기타
143,1000628429216,VIPS,빕스 원팬 파스타 2종 (로제+까) + 볶음밥 2종 (멕불) + 피자2종 (하고),42900,,,,밥/면류
144,1000557511230,,싱싱 고등어 김치조림 400g x 4팩,24900,,,,기타한식류
145,1000629210931,푸딩팩토리,푸딩프렙 곤이듬뿍 알탕 510g 푸짐한 촉촉 쫄깃 알고니 간편 밀키트,12800,,,,기타
146,1000633879810,프레시지,초계국수,8900,4.8,28,100892,국류
147,1000555323391,아임셰프,미국 남부식 보일링 씨푸드 / 미국식 봉지 해물찜 밀키트 (2인분) 718g 캠핑 직화용기,18900,5.0,2,,찜류
148,1000624628583,,뭇나 프리미엄 투뿔 한우 살코기 갈비탕 600g 3팩,31900,,,,고기류
149,1000631839423,프레시지,삼치구이 70g x2팩,13800,,,,구이류
150,1000534709754,프레시지,서울식불고기전골 2인분(냉장),11900,5.0,2,,고기류
151,1000593291357,프레시지,안일옥 진한 도가니탕,9900,,,,기타
152,1000608640582,VIPS,빕스 원팬 파스타 3종 세트(명란까르보나라+쉬림프로제+볼로네제),34900,,,,기타
153,1000629209567,푸딩팩토리,푸딩프렙 황제 해물누룽지탕 350g 튀긴찹쌀누룽지 밀키트 간편조리세트,11800,,,,해물/생선류
154,1000616162020,주식회사 카우보이그릴,[카우보이그릴]텍사스 바베큐 참나무 훈연 자이언트 척립,67200,5.0,6,10012600,기타
155,1000065416076,쿡솜씨,돼지고기두부찌개 밀키트 2인분,13800,5.0,2,,찌개류
156,1000042757705,쿡솜씨,햄가득부대찌개 밀키트 2인분,12800,4.8,58,,찌개류
157,1000534710750,프레시지,소고기버섯잡채(냉장),11900,,,,밥/면류
158,1000282085863,아임셰프,눈꽃치즈 에그인헬 (2인),23900,,,,기타
159,1000631839264,프레시지,고등어구이 100g x2팩,13800,,,,구이류
160,1000631839183,프레시지,고등어구이,9000,,,,구이류
161,1000042646236,쿡솜씨,돼지불백 밀키트 2인분,12800,4.6,11,,기타
162,1000048844367,아임셰프,불고기 월남쌈 (2인분),18900,4.8,41,,고기류
163,1000641947527,하코야,살얼음동동 치쿠와튀김 냉우동,12980,4.7,124,,분식류
164,1000561716179,다신샵,성수동905 모짜렐라 포두부 라자냐 5팩 / 저당라구소스&자연치즈,27500,5.0,1,15006,기타
165,1000576730995,더미식,"고기손만둣국 1,288",18980,1.0,1,1001474,국류
166,1000530214958,프레시지,theEASY 감바스 300gx3팩,20900,5.0,2,,기타
167,1000627176063,CJ제일제당,[본사배송][밀키트] 비비고 낙곱새전골 720g X 2개,35900,,,,전류
168,1000627238629,산해직송,뚝딱잇 안동 순살 간장찜닭 밀키트 2인분 (1005g),22900,5.0,2,1002097,찜류
169,1000567952236,아임셰프,담백하고 고소한 명란 크림파스타 406g (2인분),12900,5.0,2,,기타
170,1000529499189,프레시지,야심작 슈크림붕어빵x2 + 단팥붕어빵x2,17800,4.0,2,,기타
171,1000055856410,하늘농가,정월대보름 국산 찰밥 고화순 명인이 만든 오곡밥 4팩,16000,5.0,1,1007442,국류
172,1000608762817,VIPS,빕스 원팬 파스타 3종(명란까르보나라+쉬림프로제+볼로네제),34900,,,,기타
173,1000631045449,주식회사 카우보이그릴,[명절세트] [1/13일 부터 순차 발송] 텍사스 바베큐 소고기 설 선물 세트 (옵션 중 택1),120000,,,190000,기타
174,1000049482098,홈쿡,태국음식 베스트 5종세트,17500,4.5,4,116,국류
175,1000629211751,푸딩팩토리,어묵전골 320g 어묵탕 오뎅 국물요리 한끼요리 캠핑요리,4900,,,,전류
176,1000632103336,프레시지,최현석의 규카츠 120g x4팩,51600,,,1002588,기타
177,1000601450279,,하남쭈꾸미 300gx10팩 보통매운맛,75900,3.6,3,,기타
178,1000621079003,프레시지,최현석의 디트로이트피자 고르곤졸라&크림 261g x3팩,29700,,,,기타
179,1000456354099,웰리트,새우몽땅 감바스 알아히요 밀키트 (2인분),21900,,,10021190,기타
180,1000042757645,쿡솜씨,해물순두부찌개 밀키트 2인분,12800,4.8,17,,찌개류
181,1000277301151,ENTREE,앙트레 트러플크림 페투치네 쿠킹박스 밀키트 생면(1인분),12900,,,,기타
182,1000314011701,무료배송,[고메공방] 바지락술찜파스타 1kg / 2인분 x 2팩,31800,,,125500,찜류
183,1000624377932,외갓집/더명작,바른 한우 사골곰탕 500g X 3팩,13900,,,,기타
184,1000560254118,프레시지,우삼겹순두부찌개 2인분(냉장),9900,,,,찌개류
185,1000555371047,아임셰프,아홉가지 정성 담은 오색 구절판 밀키트,21900,5.0,1,,기타
186,1000555334154,아임셰프,3종 해산물 감바스 알 아히요 밀키트 (2인분) 528g 바게트 포함,13900,,,,기타
187,1000529499195,프레시지,야심작 슈크림붕어빵,12000,5.0,2,,기타
188,1000532151822,프레시지,스테이크 키트 2종 10팩 SET (뉴욕갈릭스테이크 170gx5+텍사스페퍼스테이크170gx5),59900,,,,기타
189,1000534719130,프레시지,소고기버섯잡채+우삼겹순두부찌개 2인분(냉장),18900,,,,찌개류
