name,price,review
[사리원] 소불고기 전골,"12,720",999+
[어반다이닝] 바지락 술찜 파스타,"11,449",999+
[최현석의 쵸이닷] 파스타 인기 메뉴 11종 (택1),"6,715","9,999+"
[바른식] 강릉식 짬뽕순두부 찌개,"12,720","9,999+"
[하루한킷] 송탄식 부대찌개,"11,990","9,999+"
[해운대암소갈비집] 한우 소불고기 전골,"15,920",999+
[투다리] 시그니처 김치우동 (2인분),"10,000","9,999+"
[LITTLENECK] 리틀넥 스테이크 키트,"16,632","9,999+"
[쵸이닷:직원食당] 이태원식 부대찌개,"15,283",999+
[일상식탁] 부산식 얼큰 낙곱새,"11,120",999+
[My little recipe] 안동에서 올라온 전통찜닭 (2인용),"14,872","9,999+"
[투다리] 인기 밀키트 4종 골라담기 (택1),"8,280","9,999+"
[프레시지] 밀푀유나베,"12,155","9,999+"
[성수동 팩피 : FAGP] 인기 파스타 2종 (택1),"14,600","9,999+"
[한팟] 치즈 부대찌개 1858g(냉장),"5,925","9,999+"
[채선당] 샤브샤브 밀키트 (2인),"11,067","9,999+"
[정지선의 티엔미미] 티엔미미 인기 면요리 4종 (택1),"21,844",999+
[프레시지] 부채살 하와이안 찹스테이크,"7,650",999+
[마이셰프] 소고기 샤브샤브 밀키트 3~4인분(고기350g),"15,480","9,999+"
[하코야] 하카타 차슈 돈코츠라멘 (2인분),"8,720",999+
[최현석의 쵸이닷] 바질 고르곤졸라 뇨끼,"12,400",782
[투다리] 한우대창나베,"12,720",999+
[윤서울] 모둠나물면,"15,900",865
[김구원선생] 두부 된장찌개 밀키트,"15,910",999+
[아우름] 바다를 품은 솥밥키트 2종 (냉동) (택1),"7,120",999+
[금룡각] 마라탕,"11,920",999+
[마이셰프] 찹스테이크,"18,900","9,999+"
[콜린스다이닝] 전복솥밥 키트,"10,710",999+
[니뽕내뽕] 크뽕 (크림 짬뽕),"8,568",375
[LITTLENECK] 리틀넥 비프 머쉬룸 리조또,"11,120",999+
[빕스] 1997 스테이크,"7,120",258
[김구원선생] 우삼겹 순두부찌개,"11,610","9,999+"
[최현석의 쵸이닷] 쉬림프 바질크림 리조또,"14,320",295
[리틀 비엣남] 소고기 쌀국수 2인분,"8,980",999+
[투다리] 오리지널 알탕,"9,810",999+
[마이셰프] 전주식 해장 콩나물국밥,"9,800",999+
[프레시지] 캠핑포차 꼬치 어묵탕,"15,600",999+
[최현석의 쵸이닷] 연어 스테이크 with 유자크림 소스,"19,900",338
[피코크] 미가 들깨 수제비,"11,751",999+
[하루한킷] 신림동 백순대 볶음,"10,115","9,999+"
[닥터로빈] 단호박 크림스프 밀키트,"6,480",999+
[현대옥] 황태콩나물 국밥,"13,410",531
[시골보쌈과 감자옹심이] 옹심이 들깨 수제비(2인분),"8,300",999+
[연남 쌉 : SAAP] 팟타이 2인분,"13,400",999+
[리틀스페인] 문어 뽈뽀 스테이크,"8,490",249
[방방곡곡] 의정부식 햄마니 부대찌개,"12,870",277
[매일식탁] 의정부식 부대찌개 (1-2인용),"49,900",999+
[로스옥] 아롱사태 스지수육,"8,200",242
[하루한킷] 고기 듬뿍 마파두부,"7,347",999+
[콜린스 이자카야] 오뎅나베,"7,307",206
[삼양] 불닭 떡볶이 오리지널 (2인분),"7,501",268
[프레시지] 감바스 알아히요,"15,210",999+
[윤서울] 매콤 고사리 비빔면,"7,120",368
[놀부부대찌개] 부대찌개,"14,872",999+
[콜린스다이닝] 투움바 파스타,"12,550",218
[마이셰프] 얼큰 미나리 샤브샤브,"17,000",999+
[LITTLENECK] 리틀넥 가리비 바질 크림 리조또,"7,990",999+
[존쿡델리미트] 비프웰링턴,"8,900",173
[프레시지] 캠핑포차 김치어묵 우동전골,"8,000",999+
[윤서울] 생들기름면,"18,507",458
[푸드어셈블] 시금치 크림 뇨끼,"10,500",999+
[에머이] 매운 소고기 쌀국수,"10,500",190
[콜린스다이닝] 클래식 미트라구 파스타,"6,715",130
[하루한킷] 소고기 된장찌개,"10,710",999+
[생어거스틴] 똠양꿍,"14,310",999+
[니뽕내뽕] 토뽕 (토마토 짬뽕),"10,965",161
홈파티 인기 밀키트 7종 (택1),"10,900","9,999+"
