상품명,가격,별점,리뷰수,판매수량,온라인판매금액
애슐리 오리지널 통살치킨 500G,8990,4.7,6740,56858,511153420
하코야 통 치즈 돈까스 350G,10900,4.8,7061,17618,192036200
투다리 김치오뎅전골 653G,15900,4.7,1069,13141,208941900
하코야 통 고구마 치즈 돈까스 280G,10900,4.8,1537,13003,141732700
[밀키트] 홈밀 쟌슨빌 부대찌개 985G,9990,4.8,11261,9301,92916990
[밀키트] 홈밀 의정부식 부대찌개 750G,6990,4.8,3752,7254,50705460
하코야 김치카츠 나베 680G,16900,4.8,1382,5949,100538100
[밀키트] 홈밀 채선당 소고기 샤브샤브 845G,9990,4.8,897,5911,59050890
하코야 멘치까스 360G,9990,4.7,633,4117,41128830
[밀키트] 얼큰 미나리 버섯샤브전골 835G,9990,4.8,1007,3259,32557410
[밀키트] 밀푀유 나베 4인분 1129G,19990,4.7,934,3154,63048460
[밀키트] 홈밀 푸짐한 스팸 부대찌개 1120G,9990,4.7,8347,2910,29070900
하코야 오뎅전골 751G,14900,4.7,816,2884,42971600
[밀키트] 홈밀 놀부 부대찌개 1042G,9990,4.8,963,2822,28191780
라그릴리아 시그니처 바비큐폭립 600G,23900,4.6,179,2320,55448000
[밀키트] 홈밀 감바스 알 아히요 420G,9990,4.7,1118,2272,22697280
[밀키트] 홈밀 푸짐한 밀푀유나베 1079G,11990,4.8,467,2179,26126210
하코야 롱 생선까스 300G,9990,4.6,2480,2136,21338640
[밀키트] 홈밀 푸짐한 스팸 부대찌개 525G,6990,4.7,1651,1728,12078720
도드람 해남 묵은지 김치찌개 1KG,15990,4.7,561,1722,27534780
[밀키트] 홈밀 알탕 873G,9990,4.7,286,1656,16543440
[밀키트] 홈밀 이춘삼 쟁반짜장 890G,9990,4.7,495,1645,16433550
[밀키트] 홈밀 감자수제비 순두부 찌개 1100G,8990,4.8,3502,1585,14249150
달떡볶이 쫄깃 바삭 떡꼬치 330G,5990,4.7,808,1575,9434250
[밀키트] 려강 국내산 사골육수 모둠 순대국 1.4KG,9990,4.8,1619,1562,15604380
[밀키트] 홈밀 칼칼하고 시원한 부대찌개 735G,6990,4.7,745,1408,9841920
추억의 1999 홍대떡볶이 냉동 426G,6990,4.7,253,1249,8730510
[밀키트] 홈밀 쟌슨빌 부대찌개 425G,6990,4.7,1237,1226,8569740
[밀키트] 홈밀 직화 소불고기 버섯전골 490G,9990,4.5,2811,1204,12027960
[밀키트] 홈밀 소불고기 버섯전골 300G,6990,4.6,804,1150,8038500
홈밀 튤립 국물닭발 400G,7990,4.7,1042,1083,8653170
[밀키트] 우삼겹 낙곱새 전골 4인분 1585G,24990,4.6,330,899,22466010
[밀키트] 홈밀 돼지고기 김치찌개 738G,9990,4.7,156,888,8871120
[밀키트] 홈밀 동태탕 863G,9990,4.7,139,769,7682310
[밀키트] 홈밀 한우곱창전골 832G,13990,4.4,63,766,10716340
애슐리 오리지널 통살치킨&치폴레소스 500G,8990,4.7,3144,766,6886340
[밀키트] 홈밀 북창동식해물순두부찌개,9990,4.5,767,730,7292700
[밀키트] 홈밀 직화 우삼겹 된장찌개 670G,9990,4.7,1435,716,7152840
[밀키트] 신당동식 사리듬뿍 즉석 떡볶이 4인분 1545G,18990,4.4,363,702,13330980
[밀키트] 채선당 굴림만두전골 790G,11900,4.6,1295,698,8306200
[밀키트] 홈밀 바질 크림 빠네파스타 636G,9990,4.6,422,689,6883110
[밀키트] 홈밀 대구매운탕 823G,9990,4.6,95,685,6843150
[밀키트] 홈밀 오삼불고기 400G,6990,4.5,596,625,4368750
[밀키트] 홈밀 놀부 부대찌개 1인분 491G,6990,4.6,116,616,4305840
[밀키트] 홈밀 콩나물불고기 787G,9990,4.9,169,598,5974020
[밀키트] 홈밀 순두부찌개 요리재료 610G,6990,4.7,388,563,3935370
[밀키트] 홈밀 이비가 짬뽕순두부 1025G,9990,4.6,306,543,5424570
[밀키트] 홈밀 매콤 깻잎 순대볶음 627G,9990,4.6,1272,534,5334660
[밀키트] 홈밀 청국장찌개 요리재료 560G,6990,4.6,227,513,3585870
[밀키트] 홈밀 삼선 해물 누룽지탕 678G,9990,4.6,204,434,4335660
[밀키트] 홈밀 소고기듬뿍 쌀국수 650G,9990,4.7,30,395,3946050
[VIPS] 오리지널 바비큐 폭립 x 2개,33800,4.6,9,387,13080600
[밀키트] 홈밀 오코노미야끼 533G,9990,4.7,177,385,3846150
[밀키트] 홈밀 순살 닭볶음탕 1100G,9990,4.5,129,381,3806190
[밀키트] 홈밀 사천식 마라탕 566G,9990,4.6,213,379,3786210
[밀키트] 당면가득 안동식 찜닭 1677G,15990,4.8,480,372,5948280
[밀키트] 홈밀 캠핑포차 직화 삼진어묵탕 770G,9990,4.7,311,355,3546450
[밀키트] 팜앤들 동대문식 닭한마리 칼국수 1265G,9990,4.7,229,334,3336660
[밀키트] 홈밀 고깃집 된장찌개 535G,8990,4.5,290,332,2984680
[밀키트] 려강 나주식맑은곰탕 1005G,9990,4.8,187,324,3236760
[밀키트] 홈밀 춘천식 닭갈비 820G,9990,4.5,244,324,3236760
[밀키트] 홈밀 된장찌개 요리재료 465G,6990,4.6,234,323,2257770
[밀키트] 채선당 백합칼국수 990G,11900,4.7,511,299,3558100
[밀키트] 홈밀 이차돌 숙주볶음 460G,9990,4.7,523,297,2967030
[밀키트] 홈밀 하이디라오 소스로 만든 마라훠궈 915G,13990,4.6,81,296,4141040
[밀키트] 홈밀 우동사리 닭갈비 600G,6990,4.6,691,282,1971180
[밀키트] 홈밀 캠핑포차 직화 두루치기 600G,9990,4.7,301,277,2767230
남다른 감자탕순살 800G,9990,4.6,271,265,2647350
[밀키트] 홈밀 고추잡채와 꽃빵 500G,9990,4.6,95,263,2627370
호밍스 부산식 곱창 전골 760G,15400,4.7,296,261,4019400
[밀키트] 홈밀 부채살 큐브 스테이크 607G,14990,4.6,257,258,3867420
[밀키트] 홈밀 직화 우삼겹 라볶이 620G,9990,4.6,351,244,2437560
[밀키트] 홈밀 직화 푸짐한 순대곱창 전골 580G,9990,4.2,368,242,2417580
홈밀 북엇국 500G,4990,4.8,113,240,1197600
[밀키트] 홈밀 제주흑돼지 애호박찌개 370G(1인분),6990,4.4,173,237,1656630
프레시지 소고기버섯잡채 305G,9990,4.7,39,232,2317680
풀무원 2분조리 국물 떡볶이 1인분 170G,2990,4.7,799,213,636870
[밀키트] 마이셰프 바지락술찜과 파스타 1062G,9990,4.7,24,211,2107890
[하남돼지집] 고깃집 김치볶음밥 x 6개,15000,4.5,11,207,3105000
[밀키트] 이화수 육개장 칼국수 950G,9990,4.7,151,202,2017980
[밀키트] 홈밀 포크&가니쉬 바비큐 스테이크 624G,9990,4.9,14,175,1748250
[밀키트] 홈밀 고추장찌개 요리재료 485G,6990,4.7,26,163,1139370
